scheme_code,scheme_name,isin_growth,isin_reinvestment,plan,aum,ter_pct,ter_date,nsdl_scheme_code
131147,ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,INF109KA1M70,INF109KA1M62,unspecified,,,,
113247,ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,INF109K01WW7,INF109K01JM5,unspecified,,,,
113242,ICICI Prudential Banking and PSU Debt Fund Retail Growth,INF109K01II5,,unspecified,,,,
113243,ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,INF109K01WV9,INF109K01IJ3,unspecified,,,,
148534,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,INF00XX01861,,direct,288330000,0.23,2026-08-02,TIM/O/D/BPF/20/01/0009
148536,ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,INF00XX01879,INF00XX01887,direct,629000,0.23,2026-08-02,TIM/O/D/BPF/20/01/0009
148535,ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,INF00XX01838,,regular,77331000,0.75,2026-08-02,TIM/O/D/BPF/20/01/0009
148533,ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,INF00XX01846,INF00XX01853,regular,783000,0.75,2026-08-02,TIM/O/D/BPF/20/01/0009
123690,Kotak Banking and PSU Debt - Growth,INF174K01FO3,,unspecified,20150150000,,,
123691,Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,INF174K01FQ8,INF174K01FP0,unspecified,29729000,,,
123689,Kotak Banking and PSU Debt Direct - Annual Dividend,INF174K01KI5,INF174K01KJ3,direct,,,,
123693,Kotak Banking and PSU Debt Direct - Growth,INF174K01KH7,,direct,30554301000,,,
123692,Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,INF174K01KK1,INF174K01KL9,direct,6846000,,,
120337,LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW,INF767K01GJ2,INF767K01GM6,direct,9302000,0.28,2026-08-02,LICM/O/D/BPF/07/05/0013
120338,LIC MF Banking & PSU Fund-Direct Plan-Growth,INF767K01GI4,,direct,16413929000,0.28,2026-08-02,LICM/O/D/BPF/07/05/0013
120339,LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW,INF767K01GK0,INF767K01GN4,direct,726000,0.28,2026-08-02,LICM/O/D/BPF/07/05/0013
120336,LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW,INF767K01GL8,INF767K01GO2,direct,294000,0.28,2026-08-02,LICM/O/D/BPF/07/05/0013
105822,LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW,INF767K01519,INF767K01527,regular,17014000,0.65,2026-08-02,LICM/O/D/BPF/07/05/0013
105823,LIC MF Banking & PSU Fund-Regular Plan-Growth,INF767K01535,,regular,2053142000,0.65,2026-08-02,LICM/O/D/BPF/07/05/0013
105856,LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW,INF767K01543,INF767K01550,regular,2055000,0.65,2026-08-02,LICM/O/D/BPF/07/05/0013
